Comment,MOS
So many beautiful created in this world 😱,5
"I've tried hundreds of workout but this one is the most effective I've ever done. After two weeks of doing it, a lot of people noticed that I started losing weight even though I didn't notice it myself. I didn't change my eating habits besides acoiding binge eating. For those who're wondering, I eat brown rice not white rice. I did this everyday. I'm on my 3rd week now",4
I like what you say,4
nadal has no talent onlyhard oeuvre,3
2:52 I love Liu Wen so much! Why no one talks about her.  She is gorgeous!🥺,5
Thankyou !,4
4:48👌,4
"Impressed with your explanation. Subscribed.
And can u suggest me a best role 
I am a Mechanical Engineering Graduate.",5
Thank you for adding the women’s tennis.,4
The plangency of the guitar is annoying.,2
Your videos are what is getting me the necessary introduction to data science. Thank you so much!,4
her voice & vs fashion show 😩💕,4
Great job ! please do more videos like that.,4
A heap of ended the heading information and terminology for a first timer. Non very helpful for a initiate.,3
The plangency of the guitar is rile.,2
This is one of the best tedx talks for me,4
these blondies are all the same person ? kkkk,3
No to a greater extent star quality. .. no wonder the show move down,2
The resonance of the guitar is rile.,2
actually useful video of what data scientists do !,4
Adriana is just so stunningly beautiful.  Im glad she opened this segment .  Her walk and smile are what sets her apart from the other VS angels.  So sad she's no longer doing this…,4
"That Allison goal will never be forgotten 
Whatsoever
What a legend",5
"Almost everyone is talkin about Alisson, really unexpected goal that was",3
HAIL TO QUEEN CANDICE.,4
Animation and voice ❤️❤️,5
The vibrancy of the guitar live annoying.,2
4:48 which league is that?,3
"Thank You, YouTube for recommending this to me in 2021 lockdown ❤️",5
The resonance of the guitar is nettle.,2
Wow.. What supermodels? Halsey. Just wow.,4
No to a greater extent starring quality. .. no wonder the show went downward,2
No more prima caliber. .. no wonder the show went downwards,2
Greatttttt....,5
Amazing artist 😍😍😍,5
No more starring caliber. .. no wonder the show go down,2
The resonance of the guitar be annoying.,2
No to a greater extent leading quality. .. no wonder the show went down,2
Very pleasantly surprised by this one. Amazing!,5
"I am not really a fan of Victoria's Secret, but I really love this prestation with the Weeknd. 🔥",4
You did not encourage me at all,1
Hi i m a beginner in this feild i want to learn data science could you please suggest me best course in online.,4
The resonance of the guitar equal nark.,2
Im here because my pe teacher want me to,3
Just finished watching this video and honestly it’s awesome,5
The resonance of the guitar is bother.,2
"Yes, sir, the main barrier is an emotional one. Thank you for that!",5
No more leading quality. .. no wonder the show go downwards,2
"For learn data science,
Is it necessary to learn c++.,...python..., etc.. Languages??!! First",3
Nice got to learn many things,4
my psychology lecturer recommend us to watch this. and I'm so happy about it now. gonna try this 20 hrs rule. thanks,5
very nice,5
No more star quality. .. no wonder the appearance sound down,2
Damn... Bella Hadid face literally change from: 😒 to: 😊 and again: 😒,4
these blondies are altogether the same somebody? kkkk,3
Liverpool is then bad,3
4: 48 which league is that?,3
No to a greater extent star tone. .. no wonder the show went downwardly,2
No more star quality. .. no wonder the display went downwards,2
Nadal is absolutely incredible!,4
great vid i learned,4
Romee looks soooo goooood!!,5
Female power 🎧,4
Liverpool follow so bad,3
welp i almost puke im not even halfway the video 😭 might do this slowly and progress each day,3
Amazing voice!,4
Nice Video,5
The vibrancy of the guitar be annoying.,2
No more leading character. .. no wonder the show go down,2
how privy i be passionate astir data science and come to watch this?,3
how can one be passionate astir data scientific discipline and get along to watch this?,3
"Nicely done ✅
Forth time",4
The plangency of the guitar is irritate.,2
The resonance of the guitar equal irritate.,2
I totally loved Kelshi's dress..the female singer.. ❤️,4
The camera showing the weeknd after bella hadid comes on stage lmaooo i CAN'T,4
"i couldnt finish this in the first time... but now this video is easy to me tbh, it just long and i dont sweat as much. but still feel good after this! i'm improving, keep trying! one day i definitely will be fit and confident about myself!",4
Im here because my pe teacher wants me to,3
Great video. You did great explaining this.,4
The resonance of the guitar is chafe.,2
Ace make not induce the point; bad explanation.,3
"After watching this video I think to change from web development to cyber security, it sounds more important",5
No to a greater extent star quality. .. no wonder the appearance went down,2
how can one be passionate about data science and come to watch this?,3
Good one,4
"Hello @Simplilearn, your animations are very good. Which tool do u use to create them :)",4
No to a greater extent star quality. .. no wonder the appearance survive down,2
Her voice!!!,4
The resonance of the guitar is annoy.,2
No to a greater extent starring quality. .. no wonder the show start down,2
You did not promote pine tree state at all,1
Just finished watching this video and honestly it’s awesome,4
You did non further me at all,1
Wow 😮 The new West Brom stadium looks amazing! Its better than Anfield!,4
No more stellar tone. .. no wonder the show went down,2
No to a greater extent star timbre. .. no wonder the show fail down,2
The smile at the end is so cute  😊,4
You did not advance me at all,1
"It is very good, isn't it?",4
The resonance of the guitar comprise annoying.,2
Barbara is the best !!,4
I did not get the point; bad explanation.,3
You make out non encourage me at all,1
"Nearly everyone is talkin astir Alisson, really unexpected goal that was",3
No one was expecting that Allison goal,3
Interesting ,4
No more star tone. .. no wonder the appearance went down,2
I want learning Data Analysis,4
You did not encourage maine at all,1
Loved it,4
4: 48 which league be that?,3
The resonance of the guitar be devil.,2
No more star tone. .. no wonder the appearance snuff it down,2
I've been watching you for a year and a half your a life saver 💞,5
love  Candice,5
